SUSPECTED_CRIME_DESCRIPTION,SUSPECT_ARRESTED_FLAG,OFFICER_IN_UNIFORM_FLAG,CONSENT_GIVEN_FLG,WEAPON_FOUND_FLAG,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,STOP_LOCATION_BORO_NAME,STOP_WAS_INITIATED,MONTH2
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,May
CPW,N,Y,(null),N,(null),(null),BRONX,Based on Self Initiated,May
CPW,N,Y,(null),N,(null),(null),BRONX,Based on Self Initiated,May
ROBBERY,N,Y,N,N,MALE,WHITE HISPANIC,BROOKLYN,Based on Radio Run,May
ROBBERY,N,Y,N,N,MALE,WHITE HISPANIC,BROOKLYN,Based on Radio Run,May
ROBBERY,N,Y,(null),N,MALE,BLACK HISPANIC,BROOKLYN,Based on Radio Run,May
GRAND LARCENY AUTO,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,May
RECKLESS ENDANGERMENT,N,Y,Y,N,MALE,BLACK,BROOKLYN,Based on Radio Run,May
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,May
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,May
MENACING,N,Y,Y,N,MALE,BLACK,BROOKLYN,Based on Radio Run,May
BURGLARY,Y,Y,N,Y,MALE,BLACK HISPANIC,BROOKLYN,Based on Radio Run,May
CRIMINAL MISCHIEF,N,Y,N,N,MALE,WHITE HISPANIC,QUEENS,Based on Radio Run,May
CPW,N,Y,Y,N,MALE,BLACK,QUEENS,Based on Self Initiated,May
CRIMINAL TRESPASS,Y,Y,N,N,MALE,BLACK,STATEN ISLAND,Based on Radio Run,May
CPW,Y,Y,N,Y,MALE,WHITE HISPANIC,MANHATTAN,Based on Radio Run,May
MENACING,Y,Y,N,N,MALE,BLACK,MANHATTAN,Based on Radio Run,May
MENACING,Y,Y,N,N,MALE,WHITE HISPANIC,MANHATTAN,Based on Radio Run,May
ROBBERY,Y,Y,N,N,MALE,BLACK,MANHATTAN,Based on Radio Run,May
ASSAULT,Y,Y,N,N,MALE,BLACK,MANHATTAN,Based on Radio Run,May
CPW,N,Y,(null),N,(null),(null),BRONX,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,May
CPW,N,Y,Y,N,MALE,WHITE HISPANIC,BRONX,Based on Radio Run,May
MAKING GRAFFITI,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,May
ASSAULT,N,Y,N,N,MALE,BLACK,BRONX,Based on Radio Run,May
ASSAULT,N,Y,N,N,MALE,BLACK,BRONX,Based on Radio Run,May
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,May
CPW,N,Y,N,N,FEMALE,BLACK,BRONX,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,BLACK HISPANIC,BRONX,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,May
GRAND LARCENY AUTO,Y,Y,N,N,MALE,ASIAN / PACIFIC ISLANDER,BROOKLYN,Based on Self Initiated,May
ASSAULT,Y,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,April
CPW,Y,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,May
CPW,N,Y,N,N,FEMALE,BLACK,BROOKLYN,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,May
CPW,N,Y,Y,N,MALE,BLACK,BROOKLYN,Based on Radio Run,May
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,May
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,May
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,May
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,May
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,May
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on C/W on Scene,May
CPW,N,Y,N,N,MALE,WHITE HISPANIC,QUEENS,Based on Radio Run,May
OTHER,N,Y,N,N,MALE,BLACK HISPANIC,QUEENS,Based on Radio Run,May
CPW,N,Y,N,Y,MALE,WHITE,STATEN ISLAND,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,WHITE,STATEN ISLAND,Based on Radio Run,May
CPW,N,Y,N,N,MALE,WHITE,STATEN ISLAND,Based on C/W on Scene,May
CPW,N,Y,N,N,MALE,BLACK,STATEN ISLAND,Based on C/W on Scene,May
CPW,N,Y,N,N,FEMALE,BLACK,MANHATTAN,Based on Radio Run,May
MURDER,N,N,N,N,MALE,BLACK HISPANIC,MANHATTAN,Based on Self Initiated,May
PETIT LARCENY,Y,Y,N,N,MALE,BLACK,BRONX,Based on Radio Run,May
ROBBERY,Y,Y,N,N,MALE,BLACK,BROOKLYN,Based on C/W on Scene,May
ASSAULT,Y,Y,N,Y,MALE,BLACK,QUEENS,Based on Radio Run,May
BURGLARY,Y,Y,N,N,MALE,WHITE HISPANIC,QUEENS,Based on Radio Run,May
FORCIBLE TOUCHING,N,Y,N,N,MALE,WHITE HISPANIC,MANHATTAN,Based on C/W on Scene,May
PETIT LARCENY,N,Y,N,N,MALE,BLACK,MANHATTAN,Based on C/W on Scene,May
ASSAULT,N,Y,N,N,FEMALE,WHITE HISPANIC,MANHATTAN,Based on Radio Run,May
PETIT LARCENY,Y,Y,(null),N,MALE,BLACK HISPANIC,MANHATTAN,Based on Radio Run,May
PETIT LARCENY,Y,Y,N,N,MALE,BLACK,MANHATTAN,Based on C/W on Scene,May
CPW,Y,Y,N,Y,MALE,BLACK HISPANIC,MANHATTAN,Based on Self Initiated,May
BURGLARY,N,Y,N,N,MALE,BLACK,MANHATTAN,Based on Radio Run,May
CRIMINAL POSSESSION OF CONTROLLED SUBSTANCE,Y,Y,N,N,MALE,BLACK,MANHATTAN,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,May
OTHER,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,May
ASSAULT,N,Y,N,Y,MALE,WHITE HISPANIC,BRONX,Based on Radio Run,May
OTHER,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,May
OTHER,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,May
OTHER,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,May
CPW,N,Y,(null),Y,MALE,BLACK,BRONX,Based on Self Initiated,May
ASSAULT,N,Y,N,N,MALE,BLACK,BRONX,Based on C/W on Scene,May
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,May
OTHER,Y,Y,N,Y,MALE,BLACK HISPANIC,BRONX,Based on Self Initiated,April
CPW,N,Y,(null),Y,MALE,BLACK HISPANIC,BRONX,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Radio Run,May
CPW,Y,Y,N,Y,MALE,BLACK HISPANIC,BRONX,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Radio Run,May
CPW,N,Y,Y,N,MALE,BLACK,BRONX,Based on Self Initiated,May
CRIMINAL POSSESSION OF CONTROLLED SUBSTANCE,N,Y,(null),N,FEMALE,WHITE HISPANIC,BRONX,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,May
CPW,N,Y,N,Y,MALE,BLACK,BRONX,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,BLACK HISPANIC,BRONX,Based on Self Initiated,May
CPW,N,Y,N,Y,MALE,BLACK,BRONX,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,May
BURGLARY,N,Y,N,N,MALE,BLACK,BRONX,Based on Radio Run,May
GRAND LARCENY,N,Y,N,N,FEMALE,BLACK,BRONX,Based on C/W on Scene,May
CPW,N,Y,N,N,MALE,BLACK HISPANIC,BRONX,Based on Radio Run,May
ASSAULT,Y,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Radio Run,May
ASSAULT,Y,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Radio Run,May
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Radio Run,May
ROBBERY,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,May
CPW,N,Y,(null),N,(null),(null),BRONX,Based on Self Initiated,May
CPW,Y,Y,N,N,MALE,BLACK,BROOKLYN,Based on C/W on Scene,May
ROBBERY,N,Y,(null),N,MALE,BLACK,BROOKLYN,Based on C/W on Scene,May
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,May
CPW,N,Y,N,Y,MALE,BLACK,BROOKLYN,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,May
CPW,Y,Y,N,Y,MALE,BLACK,BROOKLYN,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,May
FORCIBLE TOUCHING,Y,Y,Y,N,MALE,BLACK,BROOKLYN,Based on C/W on Scene,May
ASSAULT,N,Y,Y,N,MALE,BLACK HISPANIC,BROOKLYN,Based on C/W on Scene,May
GRAND LARCENY AUTO,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,May
CPW,N,Y,Y,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,May
CPW,Y,Y,N,Y,MALE,BLACK,BROOKLYN,Based on Radio Run,May
MAKING GRAFFITI,N,N,N,N,MALE,WHITE HISPANIC,BROOKLYN,Based on Self Initiated,May
ASSAULT,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,May
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,May
ROBBERY,Y,Y,N,N,MALE,ASIAN / PACIFIC ISLANDER,QUEENS,Based on Radio Run,May
ROBBERY,Y,Y,N,N,MALE,ASIAN / PACIFIC ISLANDER,QUEENS,Based on Radio Run,May
ROBBERY,Y,Y,N,N,MALE,ASIAN / PACIFIC ISLANDER,QUEENS,Based on Radio Run,May
ROBBERY,Y,Y,N,N,MALE,ASIAN / PACIFIC ISLANDER,QUEENS,Based on Radio Run,May
ROBBERY,Y,Y,N,N,MALE,ASIAN / PACIFIC ISLANDER,QUEENS,Based on Radio Run,May
ROBBERY,N,Y,N,N,FEMALE,ASIAN / PACIFIC ISLANDER,QUEENS,Based on Radio Run,May
CPW,N,Y,N,Y,MALE,BLACK HISPANIC,QUEENS,Based on Self Initiated,May
ASSAULT,Y,Y,N,N,MALE,BLACK,QUEENS,Based on Radio Run,May
ASSAULT,Y,Y,N,N,MALE,BLACK,QUEENS,Based on Radio Run,May
CPW,N,Y,N,N,MALE,BLACK,STATEN ISLAND,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,BLACK,STATEN ISLAND,Based on Self Initiated,May
CPW,N,Y,N,Y,MALE,WHITE HISPANIC,MANHATTAN,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,BLACK,MANHATTAN,Based on Self Initiated,May
CRIMINAL TRESPASS,N,Y,N,N,MALE,BLACK HISPANIC,MANHATTAN,Based on C/W on Scene,May
CPW,N,Y,N,N,MALE,BLACK,MANHATTAN,Based on Self Initiated,May
CPW,Y,Y,N,Y,MALE,(null),MANHATTAN,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,May
OTHER,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,BLACK HISPANIC,BRONX,Based on Self Initiated,May
CPW,Y,Y,N,Y,MALE,BLACK,BRONX,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,May
CPW,N,Y,N,Y,MALE,BLACK HISPANIC,BRONX,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,May
CPW,Y,Y,Y,N,MALE,BLACK,BRONX,Based on Radio Run,May
CRIMINAL POSSESSION OF CONTROLLED SUBSTANCE,Y,Y,(null),N,MALE,BLACK HISPANIC,BRONX,Based on Self Initiated,May
CPW,N,Y,N,Y,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,May
ROBBERY,N,Y,N,N,MALE,BLACK,BRONX,Based on Radio Run,May
ROBBERY,Y,Y,N,Y,MALE,BLACK,BRONX,Based on Radio Run,May
ROBBERY,N,Y,(null),N,MALE,BLACK,BRONX,Based on Radio Run,May
ROBBERY,Y,Y,N,N,MALE,BLACK,BRONX,Based on Radio Run,May
CPW,N,Y,(null),N,(null),(null),BRONX,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,WHITE,BRONX,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,May
CPW,N,Y,N,Y,MALE,BLACK,BROOKLYN,Based on Self Initiated,May
CPW,Y,Y,N,Y,MALE,BLACK,BROOKLYN,Based on Radio Run,May
CRIMINAL TRESPASS,Y,Y,Y,Y,MALE,BLACK HISPANIC,BROOKLYN,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,BLACK HISPANIC,BROOKLYN,Based on Self Initiated,May
CPW,N,Y,Y,Y,MALE,BLACK,BROOKLYN,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,May
OTHER,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,May
ASSAULT,Y,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,May
CPW,N,Y,N,N,MALE,(null),BROOKLYN,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,May
ROBBERY,Y,Y,(null),N,MALE,BLACK,BROOKLYN,Based on Radio Run,May
OTHER,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,May
CPW,Y,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,May
CPW,N,Y,N,Y,MALE,WHITE,BROOKLYN,Based on Radio Run,May
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,May
CRIMINAL TRESPASS,Y,Y,N,N,MALE,BLACK HISPANIC,QUEENS,Based on Radio Run,May
CPW,N,Y,N,N,MALE,WHITE HISPANIC,QUEENS,Based on Radio Run,May
CPW,N,Y,N,N,MALE,WHITE HISPANIC,QUEENS,Based on Radio Run,May
CPW,N,Y,N,N,MALE,BLACK,QUEENS,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,BLACK,QUEENS,Based on Self Initiated,May
BURGLARY,N,Y,N,N,MALE,BLACK,QUEENS,Based on Radio Run,May
CRIMINAL TRESPASS,N,Y,N,N,MALE,BLACK,STATEN ISLAND,Based on C/W on Scene,May
CPW,N,Y,Y,N,MALE,BLACK,MANHATTAN,Based on Self Initiated,May
ASSAULT,Y,Y,(null),N,MALE,BLACK,MANHATTAN,Based on Radio Run,May
RECKLESS ENDANGERMENT,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Radio Run,May
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Radio Run,May
ROBBERY,N,Y,N,N,MALE,BLACK,BRONX,Based on Radio Run,May
CPW,N,Y,N,Y,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,May
GRAND LARCENY,N,Y,N,N,MALE,WHITE,BROOKLYN,Based on C/W on Scene,May
GRAND LARCENY,N,Y,N,N,MALE,WHITE,BROOKLYN,Based on C/W on Scene,May
GRAND LARCENY,N,Y,N,N,MALE,WHITE,BROOKLYN,Based on C/W on Scene,May
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,May
CPW,N,Y,Y,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,May
ROBBERY,N,Y,N,N,MALE,BLACK,QUEENS,Based on Radio Run,May
ROBBERY,N,Y,N,N,MALE,BLACK,QUEENS,Based on Radio Run,May
ROBBERY,N,Y,N,N,MALE,BLACK,QUEENS,Based on Radio Run,May
ROBBERY,N,Y,N,N,FEMALE,BLACK,QUEENS,Based on Radio Run,May
ROBBERY,N,Y,N,N,MALE,BLACK,QUEENS,Based on Radio Run,May
ROBBERY,N,Y,N,N,MALE,BLACK,QUEENS,Based on Radio Run,May
MENACING,Y,Y,Y,N,MALE,BLACK,QUEENS,Based on Radio Run,May
OTHER,N,Y,N,N,MALE,BLACK,QUEENS,Based on Self Initiated,May
ASSAULT,Y,Y,N,N,MALE,MIDDLE EASTERN/SOUTHWEST ASIAN,STATEN ISLAND,Based on Radio Run,May
GRAND LARCENY AUTO,N,Y,N,N,MALE,WHITE,MANHATTAN,Based on Radio Run,May
ROBBERY,Y,Y,(null),N,MALE,BLACK,MANHATTAN,Based on Radio Run,May
ROBBERY,N,Y,N,N,FEMALE,BLACK HISPANIC,MANHATTAN,Based on C/W on Scene,May
ROBBERY,Y,Y,(null),N,FEMALE,BLACK HISPANIC,MANHATTAN,Based on C/W on Scene,May
ASSAULT,Y,Y,N,N,FEMALE,BLACK,MANHATTAN,Based on Radio Run,May
ASSAULT,Y,Y,N,N,MALE,BLACK,MANHATTAN,Based on Radio Run,May
GRAND LARCENY,N,Y,N,N,MALE,BLACK,MANHATTAN,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,BLACK,MANHATTAN,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,BLACK,MANHATTAN,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,BLACK,MANHATTAN,Based on Self Initiated,May
ASSAULT,Y,Y,Y,N,MALE,BLACK,BRONX,Based on Self Initiated,May
CPW,Y,Y,Y,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,May
CPW,N,Y,Y,N,MALE,BLACK HISPANIC,BRONX,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,BLACK HISPANIC,BRONX,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,May
CPW,N,Y,N,Y,MALE,BLACK,BROOKLYN,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,May
CPW,N,Y,Y,N,MALE,BLACK,BROOKLYN,Based on Radio Run,May
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,May
ROBBERY,Y,Y,N,N,MALE,BLACK HISPANIC,BROOKLYN,Based on Radio Run,May
CPW,N,Y,Y,N,MALE,WHITE HISPANIC,BROOKLYN,Based on Self Initiated,May
MENACING,N,Y,Y,Y,MALE,BLACK,BROOKLYN,Based on Radio Run,May
RECKLESS ENDANGERMENT,N,Y,N,N,MALE,BLACK,QUEENS,Based on Radio Run,May
CPW,N,Y,N,N,MALE,BLACK,QUEENS,Based on C/W on Scene,May
PETIT LARCENY,Y,Y,N,N,FEMALE,WHITE,STATEN ISLAND,Based on Radio Run,May
ROBBERY,Y,Y,N,N,MALE,WHITE,STATEN ISLAND,Based on C/W on Scene,May
PETIT LARCENY,Y,Y,Y,N,MALE,BLACK,STATEN ISLAND,Based on Radio Run,May
CPW,N,Y,N,N,MALE,BLACK,MANHATTAN,Based on Radio Run,May
GRAND LARCENY,N,Y,N,N,MALE,WHITE HISPANIC,MANHATTAN,Based on C/W on Scene,May
ASSAULT,N,Y,N,N,FEMALE,WHITE HISPANIC,MANHATTAN,Based on Radio Run,May
ASSAULT,N,Y,N,N,MALE,BLACK,MANHATTAN,Based on Radio Run,May
ASSAULT,N,Y,N,N,MALE,BLACK,MANHATTAN,Based on Radio Run,May
GRAND LARCENY,Y,Y,N,N,FEMALE,BLACK,MANHATTAN,Based on Radio Run,May
ASSAULT,N,Y,N,N,MALE,BLACK,MANHATTAN,Based on Radio Run,May
ASSAULT,N,Y,N,N,MALE,WHITE HISPANIC,MANHATTAN,Based on Radio Run,May
ASSAULT,N,Y,N,N,MALE,BLACK,MANHATTAN,Based on Radio Run,May
OTHER,N,Y,N,N,MALE,BLACK,MANHATTAN,Based on Radio Run,May
OTHER,N,Y,N,N,MALE,BLACK HISPANIC,MANHATTAN,Based on Radio Run,May
OTHER,N,Y,N,N,MALE,BLACK HISPANIC,MANHATTAN,Based on Radio Run,May
CPW,N,Y,Y,Y,MALE,BLACK,BRONX,Based on Radio Run,May
BURGLARY,N,Y,(null),N,MALE,BLACK,BRONX,Based on Radio Run,May
ASSAULT,Y,Y,N,N,FEMALE,BLACK,BRONX,Based on Radio Run,May
ASSAULT,N,Y,N,N,MALE,BLACK,BRONX,Based on Radio Run,May
CPW,N,Y,N,Y,MALE,BLACK,BRONX,Based on Radio Run,May
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on C/W on Scene,May
CPW,N,N,N,Y,MALE,BLACK HISPANIC,BRONX,Based on C/W on Scene,May
ROBBERY,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Radio Run,May
ROBBERY,N,Y,Y,N,MALE,BLACK,BROOKLYN,Based on Radio Run,May
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BROOKLYN,Based on Radio Run,May
CRIMINAL POSSESSION OF CONTROLLED SUBSTANCE,Y,Y,(null),N,MALE,MIDDLE EASTERN/SOUTHWEST ASIAN,BROOKLYN,Based on Self Initiated,May
ROBBERY,N,Y,N,Y,MALE,BLACK HISPANIC,BROOKLYN,Based on Radio Run,May
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BROOKLYN,Based on Self Initiated,May
CPW,N,Y,Y,N,FEMALE,BLACK,BROOKLYN,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on C/W on Scene,May
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BROOKLYN,Based on Self Initiated,May
ASSAULT,N,Y,N,N,FEMALE,BLACK,BROOKLYN,Based on Radio Run,May
CPW,N,Y,N,N,MALE,BLACK,STATEN ISLAND,Based on Self Initiated,May
PETIT LARCENY,N,Y,N,N,MALE,WHITE,STATEN ISLAND,Based on Radio Run,May
OTHER,Y,Y,N,N,MALE,WHITE HISPANIC,MANHATTAN,Based on Radio Run,May
ASSAULT,N,Y,N,N,MALE,WHITE HISPANIC,MANHATTAN,Based on C/W on Scene,May
CPW,N,Y,N,Y,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,May
CPW,N,Y,N,Y,MALE,BLACK,BRONX,Based on Self Initiated,May
OTHER,N,Y,Y,N,MALE,WHITE HISPANIC,BRONX,Based on Radio Run,May
CPW,N,Y,N,N,(null),(null),BRONX,Based on Self Initiated,May
ASSAULT,Y,Y,N,N,MALE,BLACK,QUEENS,Based on C/W on Scene,May
PETIT LARCENY,Y,Y,N,N,FEMALE,WHITE,MANHATTAN,Based on Radio Run,May
ASSAULT,Y,Y,Y,Y,MALE,BLACK,MANHATTAN,Based on Radio Run,May
ASSAULT,Y,Y,N,N,MALE,BLACK,MANHATTAN,Based on Radio Run,May
CPW,N,Y,N,N,MALE,BLACK HISPANIC,MANHATTAN,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,WHITE HISPANIC,MANHATTAN,Based on Radio Run,May
PETIT LARCENY,Y,Y,N,N,FEMALE,WHITE HISPANIC,MANHATTAN,Based on Radio Run,May
ROBBERY,Y,Y,N,N,MALE,BLACK,MANHATTAN,Based on Radio Run,May
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,May
CPW,N,Y,(null),N,(null),(null),BRONX,Based on Self Initiated,May
CPW,N,Y,N,Y,MALE,BLACK,BRONX,Based on Self Initiated,May
CPW,N,Y,Y,N,MALE,BLACK,BRONX,Based on Radio Run,May
ASSAULT,N,Y,N,N,MALE,BLACK HISPANIC,BRONX,Based on C/W on Scene,May
CPW,N,Y,(null),N,(null),(null),BRONX,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,May
CRIMINAL MISCHIEF,Y,Y,N,N,MALE,WHITE,BROOKLYN,Based on Radio Run,May
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,May
CPW,N,Y,N,N,(null),WHITE HISPANIC,QUEENS,Based on Self Initiated,May
ROBBERY,Y,Y,N,N,FEMALE,WHITE,QUEENS,Based on Radio Run,May
CPW,Y,Y,Y,Y,MALE,WHITE HISPANIC,BRONX,Based on Radio Run,May
RECKLESS ENDANGERMENT,Y,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,May
CPW,Y,Y,N,Y,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,May
CPW,Y,Y,(null),Y,MALE,BLACK,BRONX,Based on Self Initiated,May
CPW,N,Y,N,N,FEMALE,BLACK,BRONX,Based on Self Initiated,May
CPW,N,Y,N,N,MALE,BLACK HISPANIC,BRONX,Based on Self Initiated,May
BURGLARY,N,Y,Y,N,MALE,WHITE HISPANIC,BRONX,Based on Radio Run,May
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Radio Run,May
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Radio Run,May
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,May
GRAND LARCENY,Y,Y,(null),N,MALE,BLACK,BROOKLYN,Based on Radio Run,May
GRAND LARCENY,Y,Y,(null),N,MALE,BLACK,BROOKLYN,Based on Radio Run,May
GRAND LARCENY,N,Y,(null),N,MALE,BLACK,BROOKLYN,Based on Radio Run,May
GRAND LARCENY,Y,Y,(null),N,MALE,BLACK,BROOKLYN,Based on Radio Run,May
GRAND LARCENY,Y,Y,(null),N,MALE,BLACK,BROOKLYN,Based on Radio Run,May
GRAND LARCENY,Y,Y,(null),N,MALE,BLACK,BROOKLYN,Based on Radio Run,May
CPW,N,Y,N,Y,MALE,BLACK,BROOKLYN,Based on Self Initiated,May
CPW,N,Y,N,Y,MALE,BLACK,BROOKLYN,Based on Self Initiated,May
CPW,N,Y,Y,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,May
BURGLARY,N,Y,N,N,MALE,WHITE HISPANIC,BROOKLYN,Based on Radio Run,May
ASSAULT,Y,Y,N,N,FEMALE,BLACK,BROOKLYN,Based on Radio Run,May
CPW,N,Y,N,N,MALE,BLACK,QUEENS,Based on Radio Run,May
CPW,Y,Y,N,Y,MALE,BLACK,QUEENS,Based on Self Initiated,May
